Resp	V1	V2	A1	A2
0	18	8	1	12
0	18	17	9	3
1	2	11	16	11
0	7	2	17	13
1	4	13	11	17
1	11	18	10	9
0	18	13	15	10
1	9	7	3	19
1	11	15	14	5
0	12	6	4	3
0	15	2	3	11
1	11	16	19	19
1	5	3	13	10
1	5	13	18	13
0	15	1	8	3
0	12	13	10	14
0	10	2	15	12
0	3	2	12	6
0	17	15	2	10
1	2	12	8	10
1	13	13	19	9
1	3	14	9	19
1	12	17	18	3
1	4	15	1	8
0	14	8	5	1
0	4	4	5	11
1	4	8	14	12
1	3	3	17	14
1	12	18	16	9
0	1	3	7	5
0	3	4	12	13
1	13	15	4	17
1	17	17	14	2
0	2	8	8	4
0	5	5	17	9
0	11	4	17	4
0	2	5	7	2
0	2	4	16	1
0	1	2	16	14
1	6	7	10	7
1	1	14	7	9
0	14	10	16	18
0	14	6	11	15
1	8	17	16	18
0	10	10	7	6
0	18	2	3	1
0	12	10	14	15
1	11	17	2	14
0	13	8	2	8
1	5	10	8	16
0	3	1	9	17
0	12	6	11	16
1	3	12	15	18
0	18	16	6	17
0	17	8	3	8
1	8	16	9	14
0	6	3	19	1
1	8	16	16	5
0	8	6	5	5
0	13	8	14	6
1	8	16	6	6
0	1	1	9	5
0	16	1	8	13
0	2	5	4	12
1	14	10	10	1
1	8	18	14	17
0	15	8	13	2
0	16	16	5	3
0	1	3	19	10
1	5	8	18	19
0	12	11	19	3
0	3	7	3	11
1	12	14	5	19
0	6	1	9	14
1	1	6	11	15
0	9	13	5	17
0	1	7	11	1
1	10	16	6	4
0	9	6	19	4
1	17	12	1	15
0	12	9	19	15
0	15	3	1	16
0	7	10	10	6
0	13	11	13	7
1	12	15	10	15
1	15	18	12	2
1	2	7	10	19
0	18	7	9	13
1	3	16	5	5
1	5	17	13	8
0	15	5	18	6
0	18	16	19	19
0	3	1	13	4
0	9	10	4	11
1	14	18	8	9
0	11	15	6	2
1	4	15	5	18
0	8	3	10	2
0	16	7	1	15
0	14	4	16	2
0	18	1	15	3
0	5	16	19	4
0	8	11	2	18
1	4	16	13	16
1	1	7	1	13
0	13	12	10	16
0	2	2	19	6
0	16	10	4	17
0	17	3	15	18
1	2	17	18	12
0	11	6	15	2
1	5	11	3	18
0	18	6	6	18
0	13	4	8	11
