Resp	V1	V2	A1	A2	Vn	An
0	4	3	2	1	10	75
1	4	4	2	3	75	10
0	2	2	4	2	10	50
1	4	2	2	4	50	10
0	2	3	3	1	75	10
1	2	4	1	3	10	75
1	2	4	4	1	75	75
0	3	2	3	2	10	50
0	1	3	4	2	75	10
0	2	1	2	1	90	10
1	4	4	4	2	10	90
0	3	2	3	3	10	10
1	1	3	3	3	10	50
0	4	2	4	3	50	10
1	1	4	3	1	50	50
1	3	3	1	3	90	10
1	3	1	3	4	10	10
0	3	1	4	3	10	90
0	3	3	3	2	75	75
0	4	2	1	4	10	90
0	2	2	4	1	10	75
1	4	3	3	4	75	10
0	1	4	2	4	10	10
1	2	2	1	4	75	75
0	4	1	4	2	10	90
1	2	4	1	2	90	10
0	2	1	4	1	75	10
0	2	1	3	1	75	10
1	3	2	2	3	50	50
1	4	3	4	3	90	90
1	3	2	2	2	75	75
0	4	1	2	1	50	50
1	1	3	2	2	10	90
0	4	3	1	3	10	50
0	1	1	1	2	10	90
0	1	1	4	1	50	50
1	4	4	1	4	75	75
0	1	2	1	1	50	50
1	1	3	2	4	10	90
0	1	1	4	3	90	10
0	3	3	4	1	75	10
0	2	4	4	3	75	10
0	3	2	3	3	50	50
0	4	3	4	3	90	10
0	2	2	4	1	10	75
1	3	3	1	2	75	10
1	2	1	3	2	10	90
1	4	1	4	3	90	90
0	4	1	1	3	75	10
1	3	1	1	4	75	10
1	4	4	1	4	10	75
1	1	2	4	4	10	50
1	1	4	2	4	90	10
0	2	4	4	3	10	90
1	2	3	1	3	10	90
1	4	3	1	4	90	10
1	1	2	1	3	50	10
1	3	2	4	1	90	90
0	2	1	1	2	10	50
0	4	1	4	4	50	10
1	4	2	1	3	90	10
0	1	2	3	1	50	50
1	2	4	1	1	10	10
0	4	3	3	1	10	90
1	1	4	1	2	10	75
0	2	3	2	3	90	90
1	1	4	2	4	90	10
0	4	4	4	3	10	10
0	2	1	3	4	10	75
1	2	2	1	2	90	90
1	2	2	1	2	75	75
1	2	2	2	3	75	75
0	4	3	4	4	75	10
0	4	1	3	3	50	50
0	3	3	1	2	10	50
1	1	3	1	1	10	10
1	1	3	1	4	50	10
0	4	2	3	2	90	90
0	4	3	3	2	10	75
0	4	4	4	1	75	10
0	2	1	3	1	90	10
0	3	2	4	1	90	10
1	2	3	3	2	10	50
0	4	1	1	2	10	10
1	2	4	1	3	50	10
1	2	1	1	3	50	50
1	2	2	1	2	75	75
1	2	3	2	2	90	90
1	2	3	4	3	10	75
0	3	1	2	4	90	90
0	1	3	3	2	90	90
0	3	2	4	4	10	50
1	3	1	4	4	90	10
0	3	2	3	1	75	75
0	1	2	3	2	50	10
0	4	1	2	1	10	75
1	3	1	3	4	75	75
0	3	3	3	1	10	10
0	3	1	2	1	75	10
0	4	4	4	2	75	10
1	1	3	2	3	50	10
0	4	2	3	3	10	10
1	3	4	3	2	10	75
1	3	4	4	3	10	10
1	1	4	1	1	50	10
0	2	2	4	1	10	50
1	3	3	4	1	90	90
0	3	2	3	1	10	50
0	4	1	4	4	10	50
1	1	2	2	4	10	75
1	3	3	3	4	50	10
0	1	1	2	4	10	75
1	1	3	2	1	75	75
0	4	1	1	2	50	50
0	4	3	2	1	75	10
0	1	2	2	2	50	10
1	4	3	2	1	90	90
1	1	3	3	4	50	10
1	1	3	1	1	75	10
1	1	1	1	4	90	10
0	3	1	2	1	90	90
0	4	3	1	3	50	50
1	3	4	2	2	50	50
1	4	3	4	1	75	75
0	3	1	1	2	10	50
0	4	1	2	3	75	75
1	1	1	2	4	10	75
0	1	1	2	3	10	90
1	1	2	1	2	75	10
0	2	2	4	3	90	10
1	1	2	2	3	50	50
1	2	4	4	1	75	75
1	2	4	2	2	75	10
1	3	4	1	2	75	75
0	1	1	2	4	10	90
0	1	1	3	2	75	10
1	2	4	4	4	50	10
0	1	2	3	2	10	10
1	1	4	1	4	10	75
1	3	3	3	4	90	90
0	4	4	4	1	75	75
0	2	4	4	1	50	10
1	1	3	1	1	50	10
0	4	1	2	1	90	10
0	3	3	4	2	10	90
1	1	1	2	4	10	10
0	2	1	3	1	10	10
0	3	2	3	2	50	10
1	2	1	1	1	10	50
1	1	3	1	4	10	50
1	2	1	1	2	10	10
1	4	4	3	4	90	90
1	3	2	4	1	90	90
0	4	3	1	1	50	50
1	1	2	4	4	90	90
0	1	2	3	3	10	10
1	2	3	3	3	50	50
1	3	4	2	4	10	50
1	2	2	3	4	75	75
0	4	1	2	2	10	10
1	2	3	4	4	10	50
0	3	4	4	1	90	10
0	1	1	4	1	90	10
0	4	3	2	3	10	90
1	1	4	3	4	10	90
1	2	3	2	4	90	10
1	1	3	3	4	50	10
0	3	1	1	2	50	50
1	4	4	4	2	75	75
0	2	3	2	4	75	10
1	3	4	1	1	50	10
0	4	3	3	4	10	50
0	4	2	1	1	75	10
1	1	3	1	3	50	50
0	3	4	3	1	50	10
0	3	2	1	2	50	10
0	4	2	4	1	75	75
0	3	1	4	2	10	75
1	2	3	3	3	10	90
1	1	2	2	4	50	10
0	4	2	2	2	50	50
0	2	1	1	1	90	10
1	1	2	4	1	90	90
1	1	2	2	4	75	10
1	1	1	2	3	90	90
0	3	1	3	4	10	75
0	3	1	4	4	10	50
0	2	2	2	3	90	10
1	3	2	1	3	75	75
1	3	4	3	4	10	90
1	1	3	2	3	75	10
1	2	3	1	2	90	10
1	1	4	3	2	10	10
0	3	3	2	1	10	90
0	4	2	1	1	90	10
1	4	1	4	1	75	75
1	2	1	4	3	50	50
0	1	1	2	4	10	90
0	4	1	1	4	10	75
1	3	4	3	2	10	75
1	1	4	4	2	50	50
0	1	1	4	1	10	10
1	2	4	1	4	50	50
1	1	4	2	3	10	10
1	2	4	2	3	90	90
0	2	3	3	1	75	75
0	4	1	4	2	50	10
1	2	4	4	3	50	50
0	1	2	2	4	10	75
1	2	3	3	2	75	75
0	3	2	4	2	10	75
0	3	4	4	2	90	10
1	3	3	1	3	10	90
1	1	3	4	2	10	50
0	4	4	3	1	10	10
1	3	3	2	4	10	50
1	2	3	4	2	75	75
0	3	3	4	1	75	10
0	3	2	4	1	10	10
1	4	4	2	3	50	50
1	1	2	2	2	75	75
0	3	1	2	4	90	90
1	2	3	1	2	10	90
0	2	2	1	4	10	75
1	2	4	2	1	50	50
0	1	2	1	1	90	10
1	2	3	2	3	90	90
0	3	3	4	1	90	10
0	4	1	2	1	10	50
0	2	2	1	3	10	10
1	3	2	4	3	10	50
1	1	4	1	2	75	10
1	1	3	1	4	10	10
0	3	2	1	2	50	10
1	3	4	1	1	10	75
0	1	2	4	1	90	90
0	2	1	3	4	75	75
0	2	2	3	2	10	75
1	1	1	1	2	10	50
1	2	2	2	3	50	50
1	2	1	3	3	75	10
0	4	2	3	3	10	75
0	3	1	3	2	75	10
0	4	2	4	2	50	10
0	1	2	4	4	50	10
0	4	1	4	1	50	50
0	2	3	4	2	90	10
0	4	1	2	2	10	50
1	1	2	4	2	10	90
0	4	1	4	1	10	50
0	4	1	2	1	10	90
1	2	4	1	1	50	50
1	3	3	4	1	90	90
0	4	2	4	3	50	50
1	1	2	2	4	90	10
1	1	4	1	2	90	10
0	4	1	4	3	10	75
0	3	1	4	3	10	10
1	3	3	1	3	75	75
1	1	4	1	2	10	10
0	4	2	1	1	75	10
0	4	1	2	4	90	90
0	4	3	2	1	10	10
1	1	1	3	4	50	10
0	2	1	4	1	50	50
1	3	4	3	3	75	75
1	3	4	4	4	10	10
1	2	3	2	3	75	75
1	1	4	1	3	90	90
0	3	1	2	3	10	90
0	2	2	2	1	10	90
0	1	1	1	4	10	75
1	1	2	3	3	50	10
1	4	4	3	4	10	75
0	4	3	4	2	90	10
1	1	2	3	4	10	90
0	4	3	2	4	10	50
1	1	1	4	3	10	50
1	4	4	2	4	90	90
1	1	3	3	1	10	50
1	3	2	1	2	90	90
0	4	3	1	3	75	75
0	4	2	4	2	50	50
0	1	2	4	2	50	10
1	1	4	3	1	10	90
1	4	2	4	3	90	90
0	3	3	4	1	10	50
0	4	1	4	3	10	10
1	3	3	1	3	90	90
0	1	1	4	3	10	10
0	4	1	4	4	10	90
0	2	1	2	1	75	10
1	3	4	2	1	10	75
0	4	3	2	4	10	90
1	1	4	4	2	90	90
0	4	4	2	1	50	10
0	4	3	2	3	10	10
0	4	1	4	3	90	10
1	4	4	2	4	50	10
0	3	1	1	3	10	75
